algorithm,network,bbdd,threads,interleaving,seed,SHD,LL Score,BDeu Score,dfMM,dfMM plus,dfMM minus,Total iterations,Total time(s)
GES_BNBuilder,andes,andes.xbif50001246_,1,-1,-1,188,-0.41855352998977163,-475749.5348989852,410.0,54.0,356.0,1,1509.46
PGESwithStages,andes,andes.xbif50001246_,2,5,11,168,-0.5386102919796542,-474899.621926764,362.0,20.0,342.0,40,692.257
PGESwithStages,andes,andes.xbif50001246_,2,5,13,175,-0.5473579549079179,-475160.7916306156,394.0,50.0,344.0,39,693.709
PGESwithStages,andes,andes.xbif50001246_,2,5,17,169,-0.5473949890483862,-474990.7916508573,366.0,18.0,348.0,39,669.192
PGESwithStages,andes,andes.xbif50001246_,2,5,19,161,-0.537650973266087,-474732.5280173867,348.0,10.0,338.0,38,614.257
PGESwithStages,andes,andes.xbif50001246_,2,5,2,173,-0.547386186206841,-475020.57192650484,376.0,30.0,346.0,38,630.266
PGESwithStages,andes,andes.xbif50001246_,2,5,23,164,-0.5473875959191925,-475127.0381055361,356.0,20.0,336.0,40,798.425
PGESwithStages,andes,andes.xbif50001246_,2,5,29,165,-0.5436251852615778,-474872.6050730648,358.0,12.0,346.0,39,679.565
PGESwithStages,andes,andes.xbif50001246_,2,5,3,173,-0.5473750447874798,-475429.05978497426,380.0,38.0,342.0,39,665.628
PGESwithStages,andes,andes.xbif50001246_,2,5,5,181,-0.5473699848083352,-475468.8090270042,396.0,50.0,346.0,38,664.0
PGESwithStages,andes,andes.xbif50001246_,2,5,7,174,-0.5467356140836522,-475296.3890980439,378.0,32.0,346.0,39,684.772
PGESwithStages,andes,andes.xbif50001246_,4,5,11,188,-0.5448221148201746,-475575.88196349534,412.0,62.0,350.0,24,339.124
PGESwithStages,andes,andes.xbif50001246_,4,5,13,162,-0.548886803800682,-474976.9917474627,352.0,18.0,334.0,23,367.378
PGESwithStages,andes,andes.xbif50001246_,4,5,17,194,-0.5474064895958062,-475876.43975876266,442.0,90.0,352.0,24,373.317
PGESwithStages,andes,andes.xbif50001246_,4,5,19,200,-0.5416638910739291,-475515.89397922886,436.0,74.0,362.0,25,352.123
PGESwithStages,andes,andes.xbif50001246_,4,5,2,187,-0.5409618919449735,-475768.9272239952,408.0,62.0,346.0,26,383.46
PGESwithStages,andes,andes.xbif50001246_,4,5,23,197,-0.5386315664431597,-475615.8860103473,426.0,34.0,392.0,23,330.128
PGESwithStages,andes,andes.xbif50001246_,4,5,29,166,-0.5473717445085692,-475025.98760594806,362.0,24.0,338.0,23,360.398
PGESwithStages,andes,andes.xbif50001246_,4,5,3,172,-0.5402032720267036,-474980.2752504847,370.0,28.0,342.0,27,385.191
PGESwithStages,andes,andes.xbif50001246_,4,5,7,165,-0.5424166650577437,-475180.0765785663,358.0,22.0,336.0,26,395.401
PGESwithStages,andes,andes.xbif50001246_,6,5,11,169,-0.5490038105755307,-475291.64688005566,374.0,32.0,342.0,18,268.235
PGESwithStages,andes,andes.xbif50001246_,6,5,13,170,-0.5421202939159395,-474943.7097115746,366.0,18.0,348.0,18,256.732
PGESwithStages,andes,andes.xbif50001246_,6,5,17,180,-0.5461234128794272,-475297.45902961225,390.0,36.0,354.0,19,317.042
PGESwithStages,andes,andes.xbif50001246_,6,5,19,209,-0.5431210727400314,-476874.41785043833,468.0,84.0,384.0,22,367.09
PGESwithStages,andes,andes.xbif50001246_,6,5,2,187,-0.5473759794682038,-475189.37156306737,406.0,44.0,362.0,17,283.22
PGESwithStages,andes,andes.xbif50001246_,6,5,23,192,-0.548882852614446,-476314.8474195822,430.0,80.0,350.0,20,295.899
PGESwithStages,andes,andes.xbif50001246_,6,5,29,192,-0.5440493901168896,-475696.51624520734,444.0,96.0,348.0,18,327.646
PGESwithStages,andes,andes.xbif50001246_,6,5,3,174,-0.542008990126902,-475809.57114036666,384.0,46.0,338.0,19,277.926
PGESwithStages,andes,andes.xbif50001246_,6,5,7,178,-0.547421581086174,-475230.14039482706,402.0,60.0,342.0,17,290.894
PGESwithStages,andes,andes.xbif50001246_,8,5,11,171,-0.5447258908506027,-475200.40050814603,376.0,32.0,344.0,14,227.154
PGESwithStages,andes,andes.xbif50001246_,8,5,13,183,-0.5456949799812941,-475765.6603415134,410.0,64.0,346.0,16,285.023
PGESwithStages,andes,andes.xbif50001246_,8,5,17,187,-0.5420350591448541,-475759.58970212983,410.0,60.0,350.0,14,243.836
PGESwithStages,andes,andes.xbif50001246_,8,5,19,177,-0.5399650166560324,-475506.83129907557,398.0,60.0,338.0,16,270.676
PGESwithStages,andes,andes.xbif50001246_,8,5,2,186,-0.5458031148729365,-475427.65098341095,422.0,70.0,352.0,15,251.95
PGESwithStages,andes,andes.xbif50001246_,8,5,23,181,-0.5422437054886006,-475461.10463883437,394.0,44.0,350.0,17,283.314
PGESwithStages,andes,andes.xbif50001246_,8,5,29,170,-0.5430494827470891,-474942.34400844923,370.0,28.0,342.0,15,262.2
PGESwithStages,andes,andes.xbif50001246_,8,5,3,198,-0.5415100036755812,-476087.8845825204,438.0,90.0,348.0,16,279.758
PGESwithStages,andes,andes.xbif50001246_,8,5,5,188,-0.5429165817166182,-475492.8308974358,428.0,72.0,356.0,16,274.757
PGESwithStages,andes,andes.xbif50001246_,8,5,7,191,-0.5484046465641668,-476052.7217521597,420.0,66.0,354.0,14,268.819
GES_BNBuilder,andes,andes.xbif50001_,1,-1,-1,181,-0.4195207950186234,-477105.69800528913,398.0,40.0,358.0,1,1494.094
PGESwithStages,andes,andes.xbif50001_,2,5,11,156,-0.5404341624943305,-475237.44148123875,336.0,14.0,322.0,40,688.158
PGESwithStages,andes,andes.xbif50001_,2,5,13,169,-0.5471924441218187,-475767.9731056793,372.0,40.0,332.0,37,649.01
PGESwithStages,andes,andes.xbif50001_,2,5,17,161,-0.5471820649777447,-475547.90614581463,362.0,42.0,320.0,41,698.362
PGESwithStages,andes,andes.xbif50001_,2,5,19,154,-0.5406194619111514,-475077.7188319699,332.0,10.0,322.0,41,710.882
PGESwithStages,andes,andes.xbif50001_,2,5,2,173,-0.5473677915615499,-475938.88571306865,376.0,18.0,358.0,37,663.875
PGESwithStages,andes,andes.xbif50001_,2,5,23,246,-0.5475987736138908,-478291.9402991508,522.0,12.0,510.0,36,596.594
PGESwithStages,andes,andes.xbif50001_,2,5,29,168,-0.5477656758686833,-475121.9035434608,364.0,22.0,342.0,37,657.286
PGESwithStages,andes,andes.xbif50001_,2,5,3,162,-0.5473900786202698,-475126.0247900885,352.0,16.0,336.0,38,671.832
PGESwithStages,andes,andes.xbif50001_,2,5,5,152,-0.5473769935783701,-475126.0892617345,328.0,8.0,320.0,38,655.245
PGESwithStages,andes,andes.xbif50001_,2,5,7,155,-0.5473652579890774,-475164.32431984536,334.0,16.0,318.0,40,688.788
PGESwithStages,andes,andes.xbif50001_,4,5,11,168,-0.5446589061306505,-475870.9784728167,370.0,46.0,324.0,23,308.516
PGESwithStages,andes,andes.xbif50001_,4,5,13,164,-0.5490022845730022,-475523.4321889451,364.0,34.0,330.0,22,315.49
PGESwithStages,andes,andes.xbif50001_,4,5,17,171,-0.5468705762720194,-475930.0669199312,376.0,54.0,322.0,23,382.926
PGESwithStages,andes,andes.xbif50001_,4,5,19,174,-0.5407398281960905,-475798.050465102,392.0,58.0,334.0,22,323.608
PGESwithStages,andes,andes.xbif50001_,4,5,2,175,-0.5473439839523412,-475707.29880595737,394.0,58.0,336.0,22,327.717
PGESwithStages,andes,andes.xbif50001_,4,5,23,170,-0.544543073252697,-476089.23735566594,384.0,62.0,322.0,25,347.152
PGESwithStages,andes,andes.xbif50001_,4,5,29,164,-0.5473807752457915,-475374.11563363863,356.0,10.0,346.0,22,324.884
PGESwithStages,andes,andes.xbif50001_,4,5,3,174,-0.5489673361665782,-475629.81005881494,378.0,36.0,342.0,27,387.485
PGESwithStages,andes,andes.xbif50001_,4,5,5,149,-0.546217214974586,-475249.8548546674,322.0,8.0,314.0,22,297.816
PGESwithStages,andes,andes.xbif50001_,4,5,7,146,-0.5416009999935103,-475082.99981603515,316.0,2.0,314.0,22,315.022
PGESwithStages,andes,andes.xbif50001_,6,5,11,178,-0.5483680059594555,-475928.2254020835,396.0,42.0,354.0,20,310.441
PGESwithStages,andes,andes.xbif50001_,6,5,13,174,-0.5436769421410063,-475854.12182887166,390.0,64.0,326.0,19,299.184
PGESwithStages,andes,andes.xbif50001_,6,5,17,187,-0.548270443867957,-476190.39353920793,410.0,52.0,358.0,17,260.866
PGESwithStages,andes,andes.xbif50001_,6,5,19,177,-0.5429936947945196,-475822.9086399051,392.0,58.0,334.0,23,366.22
PGESwithStages,andes,andes.xbif50001_,6,5,2,166,-0.5473744214902921,-475699.6839066806,366.0,34.0,332.0,17,255.547
PGESwithStages,andes,andes.xbif50001_,6,5,23,171,-0.5489908586925794,-475776.2299853577,372.0,40.0,332.0,19,288.148
PGESwithStages,andes,andes.xbif50001_,6,5,29,157,-0.5392049252809195,-475588.0311745628,338.0,16.0,322.0,18,258.122
PGESwithStages,andes,andes.xbif50001_,6,5,3,171,-0.5410620293957602,-475649.5342129992,378.0,40.0,338.0,16,242.563
PGESwithStages,andes,andes.xbif50001_,6,5,5,181,-0.5456696722495314,-476274.52428373287,398.0,60.0,338.0,21,327.393
PGESwithStages,andes,andes.xbif50001_,6,5,7,194,-0.5488966475552552,-477184.31247925095,430.0,76.0,354.0,19,302.619
PGESwithStages,andes,andes.xbif50001_,8,5,11,189,-0.5446172516419776,-476531.51381206396,418.0,72.0,346.0,15,256.209
PGESwithStages,andes,andes.xbif50001_,8,5,13,177,-0.5428249580929446,-476123.74805037264,394.0,60.0,334.0,17,315.92
PGESwithStages,andes,andes.xbif50001_,8,5,17,160,-0.5426269445455656,-475356.58316162194,348.0,18.0,330.0,21,389.214
PGESwithStages,andes,andes.xbif50001_,8,5,19,174,-0.542038354375614,-475862.8067717443,392.0,68.0,324.0,15,248.856
PGESwithStages,andes,andes.xbif50001_,8,5,2,174,-0.5473917767935169,-475918.88221119676,392.0,58.0,334.0,14,234.791
PGESwithStages,andes,andes.xbif50001_,8,5,23,195,-0.5410186416362679,-476361.5766866139,438.0,86.0,352.0,18,326.738
PGESwithStages,andes,andes.xbif50001_,8,5,29,163,-0.5461928781556477,-475342.9284741699,354.0,20.0,334.0,21,380.966
PGESwithStages,andes,andes.xbif50001_,8,5,3,196,-0.5421711575858935,-476477.0594571309,434.0,86.0,348.0,15,259.09
PGESwithStages,andes,andes.xbif50001_,8,5,5,167,-0.5460724154358918,-475501.64482226723,370.0,44.0,326.0,15,258.528
PGESwithStages,andes,andes.xbif50001_,8,5,7,185,-0.5467144195267772,-476477.88883372577,406.0,68.0,338.0,14,257.171
GES_BNBuilder,andes,andes.xbif50002_,1,-1,-1,168,-0.4187547852841607,-475935.37024020206,362.0,10.0,352.0,1,1463.066
PGESwithStages,andes,andes.xbif50002_,2,5,11,167,-0.5385785989798139,-475628.28874083335,360.0,18.0,342.0,41,724.451
PGESwithStages,andes,andes.xbif50002_,2,5,13,166,-0.5473855635145567,-475746.67160555354,362.0,24.0,338.0,37,629.405
PGESwithStages,andes,andes.xbif50002_,2,5,17,178,-0.5473911995244413,-475707.3094914554,386.0,36.0,350.0,37,625.898
PGESwithStages,andes,andes.xbif50002_,2,5,19,160,-0.5376615569805689,-475428.7753592284,348.0,10.0,338.0,37,624.302
PGESwithStages,andes,andes.xbif50002_,2,5,2,165,-0.5406137757737604,-475669.0691530418,356.0,4.0,352.0,37,644.944
PGESwithStages,andes,andes.xbif50002_,2,5,23,157,-0.5473924922564792,-475300.183627417,346.0,14.0,332.0,37,624.718
PGESwithStages,andes,andes.xbif50002_,2,5,29,198,-0.5473984541516811,-475939.7309311127,428.0,24.0,404.0,37,650.737
PGESwithStages,andes,andes.xbif50002_,2,5,3,162,-0.5473851979114447,-475170.8447236977,350.0,14.0,336.0,39,685.114
PGESwithStages,andes,andes.xbif50002_,2,5,5,152,-0.5473830088268249,-475013.1095587988,330.0,0.0,330.0,38,655.301
PGESwithStages,andes,andes.xbif50002_,2,5,7,166,-0.5473895281834344,-475625.219035348,360.0,20.0,340.0,38,676.849
PGESwithStages,andes,andes.xbif50002_,4,5,11,187,-0.54477420721985,-475706.411106629,408.0,28.0,380.0,24,353.736
PGESwithStages,andes,andes.xbif50002_,4,5,13,161,-0.5488971083980215,-475441.1975662007,350.0,12.0,338.0,22,345.623
PGESwithStages,andes,andes.xbif50002_,4,5,17,171,-0.5469075402116693,-475382.4112936551,370.0,28.0,342.0,23,311.274
PGESwithStages,andes,andes.xbif50002_,4,5,2,181,-0.5473906378001986,-476076.84527288115,402.0,56.0,346.0,24,390.397
PGESwithStages,andes,andes.xbif50002_,4,5,23,168,-0.5490175916027928,-475186.0676908424,364.0,24.0,340.0,22,317.881
PGESwithStages,andes,andes.xbif50002_,4,5,29,161,-0.5473894622421279,-475432.9106975464,348.0,14.0,334.0,22,348.092
PGESwithStages,andes,andes.xbif50002_,4,5,3,161,-0.5473932019925943,-475168.13039735454,348.0,10.0,338.0,23,328.502
PGESwithStages,andes,andes.xbif50002_,4,5,5,194,-0.5425898641245965,-476306.1348326067,428.0,66.0,362.0,27,450.909
PGESwithStages,andes,andes.xbif50002_,4,5,7,155,-0.5447012792972789,-475129.02558994544,338.0,6.0,332.0,23,298.581
PGESwithStages,andes,andes.xbif50002_,6,5,11,191,-0.5489913893189479,-476467.4284779797,430.0,82.0,348.0,18,273.781
PGESwithStages,andes,andes.xbif50002_,6,5,13,178,-0.5442133185978151,-475568.109695184,386.0,28.0,358.0,17,257.217
PGESwithStages,andes,andes.xbif50002_,6,5,17,161,-0.5448262168637749,-475296.0186540272,356.0,24.0,332.0,16,242.83
PGESwithStages,andes,andes.xbif50002_,6,5,19,175,-0.5373693765474451,-475847.8149428716,382.0,42.0,340.0,19,295.423
PGESwithStages,andes,andes.xbif50002_,6,5,2,184,-0.5473445059117144,-476433.9455852529,426.0,92.0,334.0,20,321.145
PGESwithStages,andes,andes.xbif50002_,6,5,23,174,-0.5489943347738847,-475850.99154214683,378.0,44.0,334.0,20,300.037
PGESwithStages,andes,andes.xbif50002_,6,5,29,184,-0.5436002751744908,-476098.0533505542,418.0,76.0,342.0,17,263.225
PGESwithStages,andes,andes.xbif50002_,6,5,3,174,-0.5442019299880723,-475457.90765730984,384.0,28.0,356.0,16,244.855
PGESwithStages,andes,andes.xbif50002_,6,5,5,177,-0.5481460782631874,-475621.3364189899,386.0,46.0,340.0,18,277.793
PGESwithStages,andes,andes.xbif50002_,6,5,7,168,-0.5486558812795587,-475541.6318008758,372.0,36.0,336.0,18,273.346
PGESwithStages,andes,andes.xbif50002_,8,5,11,155,-0.5447256028763936,-475490.57309308724,336.0,10.0,326.0,15,250.595
PGESwithStages,andes,andes.xbif50002_,8,5,13,183,-0.5449157210779805,-476322.9594803799,412.0,60.0,352.0,15,263.412
PGESwithStages,andes,andes.xbif50002_,8,5,17,171,-0.5442631774231685,-475866.33121081773,388.0,52.0,336.0,14,235.52
PGESwithStages,andes,andes.xbif50002_,8,5,19,187,-0.5441316904914171,-476468.80910308956,422.0,64.0,358.0,13,219.224
PGESwithStages,andes,andes.xbif50002_,8,5,2,164,-0.5458936529674709,-475320.5210193432,364.0,28.0,336.0,14,241.162
PGESwithStages,andes,andes.xbif50002_,8,5,23,175,-0.5415088982224879,-475948.99993618444,386.0,44.0,342.0,16,282.917
PGESwithStages,andes,andes.xbif50002_,8,5,29,173,-0.5368667734750167,-476033.23708357697,394.0,52.0,342.0,15,271.173
PGESwithStages,andes,andes.xbif50002_,8,5,3,206,-0.5443657620899633,-476456.7936523442,458.0,90.0,368.0,13,229.864
PGESwithStages,andes,andes.xbif50002_,8,5,5,165,-0.5462392684150326,-475342.57410360227,364.0,24.0,340.0,14,233.184
PGESwithStages,andes,andes.xbif50002_,8,5,7,171,-0.5483855684306419,-475884.1682387541,394.0,62.0,332.0,14,250.496
GES_BNBuilder,andes,andes.xbif50003_,1,-1,-1,179,-0.4192241287755444,-475862.45471985,390.0,40.0,350.0,1,1467.426
PGESwithStages,andes,andes.xbif50003_,2,5,11,166,-0.5386007654516578,-474320.4944343156,360.0,22.0,338.0,39,695.725
PGESwithStages,andes,andes.xbif50003_,2,5,13,163,-0.5473865699183534,-474142.3219519879,352.0,14.0,338.0,40,682.934
PGESwithStages,andes,andes.xbif50003_,2,5,17,175,-0.5473781573867393,-474524.33509695996,380.0,28.0,352.0,40,705.503
PGESwithStages,andes,andes.xbif50003_,2,5,19,163,-0.5375886953976536,-474032.4449129577,352.0,12.0,340.0,41,686.648
PGESwithStages,andes,andes.xbif50003_,2,5,2,169,-0.5473957904900365,-474661.16884740477,364.0,18.0,346.0,39,693.772
PGESwithStages,andes,andes.xbif50003_,2,5,23,163,-0.5473898670519434,-474148.2461282142,352.0,14.0,338.0,42,745.759
PGESwithStages,andes,andes.xbif50003_,2,5,29,166,-0.5473964550270224,-474275.9447425814,362.0,22.0,340.0,37,650.076
PGESwithStages,andes,andes.xbif50003_,2,5,3,174,-0.5473994697369499,-474226.4315979586,378.0,30.0,348.0,39,658.895
PGESwithStages,andes,andes.xbif50003_,2,5,5,157,-0.547397579072164,-474081.90634279454,340.0,6.0,334.0,40,678.646
PGESwithStages,andes,andes.xbif50003_,2,5,7,171,-0.5473800215884023,-474310.8608298509,370.0,28.0,342.0,41,708.173
PGESwithStages,andes,andes.xbif50003_,4,5,11,163,-0.5448436212563427,-474022.3446241728,352.0,12.0,340.0,21,266.527
PGESwithStages,andes,andes.xbif50003_,4,5,13,166,-0.5488833761333815,-474193.5154255184,360.0,20.0,340.0,22,322.063
PGESwithStages,andes,andes.xbif50003_,4,5,17,167,-0.5473009694578578,-474274.623573528,360.0,20.0,340.0,22,310.104
PGESwithStages,andes,andes.xbif50003_,4,5,19,167,-0.5376319902507852,-474193.1366519296,360.0,18.0,342.0,23,325.589
PGESwithStages,andes,andes.xbif50003_,4,5,2,168,-0.5473859653529439,-474210.2618537558,362.0,20.0,342.0,22,282.75
PGESwithStages,andes,andes.xbif50003_,4,5,23,159,-0.5416907890551026,-474123.0231701039,344.0,6.0,338.0,22,323.915
PGESwithStages,andes,andes.xbif50003_,4,5,29,169,-0.5488284221800513,-474052.8340282022,364.0,16.0,348.0,21,314.381
PGESwithStages,andes,andes.xbif50003_,4,5,3,178,-0.5489649065566614,-474437.0404780103,388.0,44.0,344.0,24,349.785
PGESwithStages,andes,andes.xbif50003_,4,5,5,167,-0.542951857088212,-474135.90653542447,360.0,16.0,344.0,24,357.888
PGESwithStages,andes,andes.xbif50003_,4,5,7,172,-0.5412199080348185,-474541.8096172409,374.0,32.0,342.0,22,349.551
PGESwithStages,andes,andes.xbif50003_,6,5,11,166,-0.5490068261214213,-474216.9222490904,358.0,16.0,342.0,17,233.333
PGESwithStages,andes,andes.xbif50003_,6,5,13,179,-0.5443879921478022,-474865.5658386954,390.0,44.0,346.0,17,256.497
PGESwithStages,andes,andes.xbif50003_,6,5,17,167,-0.5460925406634098,-474461.53024832974,368.0,28.0,340.0,16,240.766
PGESwithStages,andes,andes.xbif50003_,6,5,19,160,-0.5433098301828104,-474160.58895737457,346.0,12.0,334.0,18,262.55
